site,region,country,lat,lon,accessions,salinity_index
Shandong winter-wheat plain,North China,China,36.7,118.5,42,0.78
Henan alluvial plain,North China,China,34.8,113.6,55,0.72
Hebei coastal plain,North China,China,38.0,115.5,38,0.81
Jiangsu lower Yangtze,Yangtze Basin,China,32.0,119.0,28,0.57
Anhui wheat belt,Yangtze Basin,China,33.2,116.7,33,0.61
Sichuan basin margin,Southwest China,China,30.7,104.1,24,0.49
Gansu corridor,Northwest China,China,38.6,102.2,31,0.68
Xinjiang oasis,Northwest China,China,43.8,87.6,46,0.84
Punjab irrigated plain,International,Pakistan,31.5,74.3,29,0.76
Indo-Gangetic plain,International,India,28.6,77.2,35,0.73
Central Anatolia,International,Turkey,39.0,35.0,22,0.62
Australian wheatbelt,International,Australia,-31.9,116.0,26,0.7
Kansas wheat belt,International,United States,38.5,-98.0,18,0.55
La Plata wheat region,International,Argentina,-35.0,-61.0,16,0.52
